Income (Median household income) for Florida by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023"
Sorted by Value

County,FIPS,Value (Dollars),Rank within US (of 3141 counties)
"Florida",12000,"71,711","35 of 52"
"United States",00000,"78,538","N/A"
"Glades County",12043,"38,905","3,066"
"Taylor County",12123,"44,985","2,912"
"Gadsden County",12039,"46,047","2,878"
"Calhoun County",12013,"46,901","2,850"
"Putnam County",12107,"47,256","2,833"
"Jackson County",12063,"47,327","2,830"
"Dixie County",12029,"47,655","2,811"
"Hamilton County",12047,"47,696","2,807"
"Madison County",12079,"48,176","2,784"
"Holmes County",12059,"48,236","2,780"
"DeSoto County",12027,"50,868","2,623"
"Okeechobee County",12093,"52,288","2,533"
"Washington County",12133,"52,723","2,508"
"Hendry County",12051,"53,044","2,487"
"Levy County",12075,"53,805","2,438"
"Liberty County",12077,"53,824","2,436"
"Hardee County",12049,"54,231","2,404"
"Columbia County",12023,"55,070","2,352"
"Citrus County",12017,"55,355","2,329"
"Suwannee County",12121,"55,479","2,310"
"Highlands County",12055,"55,581","2,298"
"Jefferson County",12065,"56,984","2,188"
"Marion County",12083,"58,535","2,062"
"Alachua County",12001,"59,659","1,950"
"Bradford County",12007,"59,740","1,942"
"Lafayette County",12067,"60,692","1,845"
"Gilchrist County",12041,"61,070","1,813"
"Franklin County",12037,"62,734","1,652"
"Hernando County",12053,"63,193","1,605"
"Polk County",12105,"63,644","1,573"
"Union County",12125,"64,922","1,442"
"Leon County",12073,"65,074","1,415"
"Escambia County",12033,"65,715","1,364"
"Charlotte County",12015,"66,154","1,338"
"Volusia County",12127,"66,581","1,312"
"Gulf County",12045,"67,361","1,258"
"Pasco County",12101,"67,384","1,255"
"Duval County",12031,"68,447","1,169"
"Miami-Dade County",12086,"68,694","1,146"
"Osceola County",12097,"68,711","1,143"
"St. Lucie County",12111,"69,027","1,118"
"Lake County",12069,"69,956","1,058"
"Bay County",12005,"70,188","1,042"
"Pinellas County",12103,"70,293","1,024"
"Baker County",12003,"70,833","989"
"Indian River County",12061,"71,049","974"
"Flagler County",12035,"72,923","821"
"Lee County",12071,"73,099","809"
"Sumter County",12119,"73,297","797"
"Wakulla County",12129,"74,183","752"
"Broward County",12011,"74,534","735"
"Hillsborough County",12057,"75,011","712"
"Manatee County",12081,"75,792","681"
"Brevard County",12009,"75,817","680"
"Orange County",12095,"77,011","627"
"Okaloosa County",12091,"79,097","542"
"Walton County",12131,"79,281","532"
"Sarasota County",12115,"80,633","485"
"Martin County",12085,"80,701","483"
"Palm Beach County",12099,"81,115","472"
"Monroe County",12087,"82,430","433"
"Seminole County",12117,"83,030","409"
"Clay County",12019,"86,094","334"
"Collier County",12021,"86,173","331"
"Nassau County",12089,"88,900","270"
"Santa Rosa County",12113,"88,968","267"
"St. Johns County",12109,"106,169","108"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 4/15/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median household income), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
